rfm_segment,customers,revenue,average_customer_value,average_recency,average_frequency,average_monetary,customer_share_pct,revenue_share_pct
At Risk High Value,14488,4495360.54,310.28164964108225,393.447956929873,1.0561844284925455,310.28164964108225,15.518755757406971,29.148138650240924
Potential Loyalists,22504,3581238.23,159.13785238179878,177.2077852826164,1.0292392463562035,159.13785238179878,24.10505794897063,23.22092467083483
Champions,6493,2026656.84,312.12949946095796,91.11181272139227,1.1803480671492377,312.12949946095796,6.954947620985882,13.14094254357163
Loyal Customers,15956,1867116.53,117.01657871647029,90.07044372023063,1.014038606166959,117.01657871647029,17.091197326420872,12.106475333477192
New / Promising,7479,1222790.71,163.4965516780318,91.18652226233453,1.0,163.4965516780318,8.011097067203668,7.928635053442573
Needs Attention,12774,1076455.87,84.26928683262878,345.018396743385,1.006654141224362,84.26928683262878,13.68281239958011,6.979792759765098
At Risk Valuable,7350,800362.32,108.89283265306122,394.8281632653061,1.022857142857143,108.89283265306122,7.872919299899313,5.189588613906481
Hibernating,6314,352480.73,55.82526607538802,396.83576179917645,1.0,55.82526607538802,6.763212579532551,2.2855023747612764
