clv_value_tier,customers,revenue,average_customer_value,median_customer_value,customer_share_pct,revenue_share_pct
Very High,18672,8254874.14,442.0990863324764,318.09000000000003,20.00042845819319,53.52500958087965
High,18671,3083808.84,165.16570296181243,163.06,19.999357312710213,19.995568061635076
Medium,18672,2025990.35,108.50419612253643,107.78,20.00042845819319,13.136620989659292
Below Average,18671,1316651.05,70.51850731080285,69.9,19.999357312710213,8.537230110442998
Low,18672,741137.39,39.69244805055698,40.1,20.00042845819319,4.805571257382991
