threshold,precision,recall,f1,f2,predicted_positive,predicted_positive_rate
0.05,0.10416666666666667,0.04491017964071856,0.06276150627615062,0.05067567567567568,144,0.006257332811888932
0.1,0.21951219512195122,0.02694610778443114,0.048,0.032679738562091505,41,0.0017816017033850432
0.15,0.24,0.017964071856287425,0.033426183844011144,0.02204261572373255,25,0.0010863425020640508
0.2,0.29411764705882354,0.014970059880239521,0.02849002849002849,0.018477457501847747,17,0.0007387129014035545
0.25,0.36363636363636365,0.011976047904191617,0.02318840579710145,0.014847809948032665,11,0.0004779907009081823
0.3,0.4444444444444444,0.011976047904191617,0.023323615160349854,0.01486988847583643,9,0.00039108330074305825
0.35,0.4444444444444444,0.011976047904191617,0.023323615160349854,0.01486988847583643,9,0.00039108330074305825
0.4,0.42857142857142855,0.008982035928143712,0.017595307917888565,0.011169024571854059,7,0.00030417590057793423
0.45,0.6666666666666666,0.005988023952095809,0.011869436201780416,0.0074682598954443615,3,0.00013036110024768608
0.5,0.6666666666666666,0.005988023952095809,0.011869436201780416,0.0074682598954443615,3,0.00013036110024768608
