model,threshold,precision,recall,f1,accuracy,true_negative,false_positive,false_negative,true_positive,predicted_churn
Logistic Regression,0.001,0.9882847433375067,1.0,0.9941078576890209,0.9882847433375067,0,131,0,11051,11182
Logistic Regression,0.002,0.9882847433375067,1.0,0.9941078576890209,0.9882847433375067,0,131,0,11051,11182
Logistic Regression,0.003,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.004,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.005,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.006,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.007,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.008,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.009,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.01,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.011,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.012,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.013,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.014,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.015,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.016,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.017,0.9882836955549593,0.9999095104515429,0.9940626124505217,0.988195313897335,0,131,1,11050,11181
Logistic Regression,0.018,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.019,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.02,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.021,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.022,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.023,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.024,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.025,0.9882815994274979,0.9997285313546286,0.9939721097615835,0.9880164550169916,0,131,3,11048,11179
Logistic Regression,0.026,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.027,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.028,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.029,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.03,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.031,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.032,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.033,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.034,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.035,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.036,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.037,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.038,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.039,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.04,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.041,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.042,0.9883700125246019,0.9997285313546286,0.9940168248684151,0.9881058844571633,1,130,3,11048,11178
Logistic Regression,0.043,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.044,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.045,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.046,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
Logistic Regression,0.047,0.9883689719960633,0.9996380418061714,0.9939715673924779,0.9880164550169916,1,130,4,11047,11177
