mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_smote__k_neighbors,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.3623134136199955,1.1556534186805587,1.6658664226531983,1.3078401675289029,0.02,3,100,10,5,sqrt,5,,"{'smote__sampling_strategy': 0.02, 'smote__k_neighbors': 3, 'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__class_weight': None}",0.999660671869698,1.0,0.9998868778280543,0.9998868778280543,1.0,0.9998868855051614,0.00012390511440020215,1,0.9999151583710407,0.9999434405135601,0.99997172025678,0.9999434405135601,0.9999151607703402,0.9999377840850562,2.11631350303382e-05
3.0243155002593993,1.853137820431426,1.365290880203247,0.7171768656834632,0.02,7,100,5,1,sqrt,5,,"{'smote__sampling_strategy': 0.02, 'smote__k_neighbors': 7, 'model__n_estimators': 100, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 5, 'model__class_weight': None}",0.999660671869698,1.0,0.9998868778280543,0.9998868778280543,1.0,0.9998868855051614,0.00012390511440020215,1,1.0,0.99997172025678,1.0,1.0,1.0,0.999994344051356,1.1311897287979988e-05
13.202128028869629,7.710368365054918,6.122815561294556,1.739907804043163,0.05,7,200,5,5,log2,,,"{'smote__sampling_strategy': 0.05, 'smote__k_neighbors': 7, 'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': None}",0.9994344531161633,0.9995475113122172,0.9996606334841629,0.9992081447963801,0.9995475113122172,0.9994796508042281,0.00015344260870398565,3,0.9997737556561086,0.9997172025678007,0.9998586012839004,0.9997454823110206,0.9998303215406804,0.9997850726719021,5.245138598748434e-05
14.252001571655274,2.1203445142061663,4.947929048538208,1.2127991164221545,0.1,5,200,2,2,sqrt,15,,"{'smote__sampling_strategy': 0.1, 'smote__k_neighbors': 5, 'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 15, 'model__class_weight': None}",0.997964031218188,0.9978506787330317,0.9985294117647059,0.9983031674208145,0.9972850678733032,0.9979864714020087,0.0004256737545706938,4,0.9997454751131222,0.9998020417974605,0.9996889228245808,0.9997737620542405,0.9997172025678007,0.9997454808714409,3.99935965056708e-05
5.142650890350342,0.49435075198043016,0.9686581134796143,0.7341221945404373,0.2,5,100,20,2,sqrt,,,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 5, 'model__n_estimators': 100, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': None}",0.9963804999434454,0.9955882352941177,0.9968325791855204,0.9944570135746607,0.9951357466063349,0.9956788149208158,0.0008508184579479213,5,0.9981900452488688,0.9975396623398659,0.9983032154068041,0.9975962218263058,0.9978507395152852,0.997895976867426,0.0003069784963723827
33.1306872844696,2.293752688212106,2.8006333351135253,1.0400407213081468,0.3,7,500,20,2,sqrt,,,"{'smote__sampling_strategy': 0.3, 'smote__k_neighbors': 7, 'model__n_estimators': 500, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': None}",0.9927609998868906,0.9945701357466064,0.9959276018099548,0.9934389140271493,0.9925339366515837,0.9938463176244369,0.001258720988566582,6,0.9971719457013575,0.996691270043268,0.9976527813127457,0.9968326687593677,0.9968609485025876,0.9970419228638653,0.00034338036726637064
36.08136668205261,1.6621558339133509,2.937702941894531,0.7074329030632784,0.5,7,300,10,10,,,balanced_subsample,"{'smote__sampling_strategy': 0.5, 'smote__k_neighbors': 7, 'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.9338310145911096,0.9516968325791855,0.9295248868778281,0.9331447963800905,0.9423076923076923,0.9381010445471812,0.007986105054171855,7,0.9382070135746606,0.9566754333870648,0.9297248380984701,0.9339667995814598,0.9449676196940132,0.9407083408671337,0.0094385576214261
11.999582672119141,4.1602952238764415,2.6785772800445558,2.2540808152820726,0.2,7,100,2,10,log2,,balanced_subsample,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 7, 'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.8963918108811221,0.8799773755656108,0.8910633484162896,0.8807692307692307,0.8890271493212669,0.8874457829907041,0.006260549067441526,8,0.9000282805429864,0.8865416702016345,0.8967789372472498,0.8852125222702978,0.8919148214134216,0.8920952463351182,0.00571168353252906
13.365349102020264,0.2211364361246274,2.0374788284301757,0.10323019197210191,0.2,3,200,5,1,log2,,balanced_subsample,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 3, 'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.8582739509105305,0.8347285067873303,0.8618778280542987,0.869683257918552,0.8709276018099548,0.8590982290961332,0.013071081548805381,9,0.864225113122172,0.8449704476683352,0.8612878595062357,0.8769265575068579,0.8751166539407822,0.8645053263488766,0.011479802734734845
20.00193166732788,3.191454347959602,5.153261470794678,0.9064422564418422,0.3,3,200,20,2,,20,balanced_subsample,"{'smote__sampling_strategy': 0.3, 'smote__k_neighbors': 3, 'model__n_estimators': 200, 'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 20, 'model__class_weight': 'balanced_subsample'}",0.8568035290125552,0.808710407239819,0.8614253393665159,0.85,0.8626696832579186,0.8479217917753618,0.02010265148530183,10,0.8611708144796381,0.816549305732304,0.8585164446706824,0.8545007211334521,0.8653884222731257,0.8512251416578405,0.017696446215703373
