mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_smote__sampling_strategy,param_smote__k_neighbors,param_model__solver,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9086208820343018,0.16374005618034682,0.04558000564575195,0.0207622701232592,0.02,5,liblinear,,0.001,"{'smote__sampling_strategy': 0.02, 'smote__k_neighbors': 5, 'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': 0.001}",0.9998868906232327,1.0,1.0,0.9998868778280543,1.0,0.9999547536902573,5.5415185954372754e-05,1,0.9999151583710407,0.99997172025678,0.9999434405135601,0.99997172025678,0.9999434405135601,0.9999490959823442,2.1163391518464022e-05
0.8181510448455811,0.21443780496315246,0.049597978591918945,0.012731518184602341,0.05,5,lbfgs,,1.0,"{'smote__sampling_strategy': 0.05, 'smote__k_neighbors': 5, 'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': 1}",0.9995475624929306,1.0,0.9997737556561086,0.9998868778280543,0.9996606334841629,0.9997737658922514,0.00015996443433390629,2,0.9998585972850679,0.9998586012839004,0.9998303215406804,0.9998020417974605,0.9996889228245808,0.999807696946338,6.29813322225963e-05
0.5179028511047363,0.059396675979427285,0.03218045234680176,0.012158720135490575,0.2,3,lbfgs,,0.001,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 3, 'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': 0.001}",0.9960411718131433,0.994683257918552,0.9993212669683258,0.9936651583710407,0.9952488687782806,0.9957919447698685,0.0019269440963755472,3,0.9967477375565611,0.9943440513560137,0.9982749356635842,0.9935522185458556,0.9957863182602302,0.995741052276449,0.0016839616357840273
1.3051294803619384,0.19497178817039018,0.04354515075683594,0.015747189687820004,0.2,3,liblinear,,0.1,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 3, 'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': 0.1}",0.9957018436828413,0.9937782805429864,0.9993212669683258,0.9932126696832579,0.9951357466063349,0.9954299614967492,0.0021422965974475,4,0.9965780542986425,0.9931845818839965,0.9983032154068041,0.9924210288170583,0.9956731992873504,0.9952320159387703,0.00216944061881589
1.2602599143981934,0.1919985736977563,0.04641456604003906,0.011795343517884159,0.2,3,lbfgs,,10.0,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 3, 'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': 10}",0.9957018436828413,0.9936651583710407,0.9993212669683258,0.9932126696832579,0.9951357466063349,0.9954073370623601,0.0021601432513380326,5,0.996606334841629,0.9931845818839965,0.9984163343796838,0.9924493085602782,0.9956449195441306,0.9952602958419436,0.0021968419863777253
1.0937040805816651,0.2508736461341764,0.03807826042175293,0.015449033324228648,0.2,3,lbfgs,,0.1,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 3, 'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': 0.1}",0.9957018436828413,0.993552036199095,0.9993212669683258,0.9932126696832579,0.9951357466063349,0.995384712627971,0.0021787835921492503,6,0.9966628959276018,0.9932411413704364,0.9982466559203642,0.9924210288170583,0.9956731992873504,0.9952489842645622,0.0021537829525277593
1.7538396835327148,0.4377868457209885,0.052658605575561526,0.0389469333632762,0.2,7,liblinear,,1.0,"{'smote__sampling_strategy': 0.2, 'smote__k_neighbors': 7, 'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': 1}",0.993892093654564,0.994683257918552,0.9992081447963801,0.9925339366515837,0.9952488687782806,0.995113260359872,0.002241228645423368,7,0.9953619909502263,0.9936653375187353,0.9982749356635842,0.9919685529255394,0.9959559967195498,0.9950453627555269,0.002132176220796833
1.2670042514801025,0.18243705038141322,0.046832847595214847,0.011319288674614387,0.3,7,liblinear,,0.01,"{'smote__sampling_strategy': 0.3, 'smote__k_neighbors': 7, 'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': 0.01}",0.9882366248161972,0.9851809954751132,0.9928733031674208,0.9846153846153847,0.9864253393665159,0.9874663294881263,0.0029753325163002792,8,0.9892533936651584,0.9861994853086734,0.9897061734679449,0.9849551766069964,0.9883204660501682,0.9876869390197882,0.0018224976726184275
1.462880802154541,0.1341417195988028,0.04160089492797851,0.010858606912306803,0.5,3,lbfgs,,0.1,"{'smote__sampling_strategy': 0.5, 'smote__k_neighbors': 3, 'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': 0.1}",0.9793009840515778,0.9823529411764705,0.9815610859728506,0.9808823529411764,0.9776018099547511,0.9803398348193653,0.0016979027401107796,9,0.9802884615384615,0.9835694691892197,0.9776307231130341,0.9809394530697662,0.9794971861655496,0.9803850586152063,0.0019407130883134871
2.072845458984375,0.34538601102140165,0.05240788459777832,0.016212721761299443,0.5,5,liblinear,,0.1,"{'smote__sampling_strategy': 0.5, 'smote__k_neighbors': 5, 'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': 0.1}",0.9777174527768352,0.979524886877828,0.9816742081447963,0.9814479638009049,0.9763574660633484,0.9793443955327426,0.002071438812897452,10,0.9791289592760181,0.9816181669070445,0.9778286813155737,0.9817595656231441,0.9783942761799723,0.9797459298603505,0.0016397233242395116
